bedrooms,bathrooms,square_footage,address,price
3,1,998,"4605 W 84th Place Chicago, IL 60652",279000.0
1,1,850,"720 W Gordon Terrace , 3N Chicago, IL 60613",185000.0
3,2,1630,"14233 S Wentworth Avenue Riverdale, IL 60827",245000.0
2,2,1600,"165 N Canal Street 514 Chicago, IL 60606",525000.0
3,2,2045,"1526 N Leavitt Street 1 Chicago, IL 60622",975000.0
2,2,1297,"125 S Green Street 806A Chicago, IL 60607",550000.0
2,2,1981,"1530 S State Street 1004 Chicago, IL 60605",675000.0
3,2,2700,"4534 N Saint Louis Avenue Chicago, IL 60625",699000.0
7,3,3421,"7657 S Normal Avenue Chicago, IL 60620",419900.0
3,2,2000,"324 N Jefferson Street 307 Chicago, IL 60661",620000.0
3,2,1500,"3180 N LAKE SHORE Drive 19D Chicago, IL 60657",650000.0
4,3,3600,"2342 N Hamlin Avenue Chicago, IL 60647",849999.0
4,3,2900,"5542 W Byron Street Chicago, IL 60641",698800.0
5,4,3000,"7440 S Oglesby Avenue Chicago, IL 60649",635000.0
3,1,1800,"2134 N WINCHESTER Avenue A Chicago, IL 60614",615000.0
3,2,2586,"2501 N Wayne Avenue 18 Chicago, IL 60614",975000.0
3,2,1108,"4158 W 58th Place 4158 Chicago, IL 60629",374900.0
1,1,800,"625 W Jackson Boulevard 206 Chicago, IL 60661",275000.0
1,1,723,"437 W North Avenue 404 Chicago, IL 60610",365000.0
3,1,1231,"3820 W 117th Street Alsip, IL 60803",257000.0
1,1,800,"123 S Green Street 409B Chicago, IL 60607",349000.0
4,2,1300,"5152 S Lawler Street Chicago, IL 60638",399000.0
4,2,2200,"524 W BRIAR Place 2 Chicago, IL 60657",950000.0
3,2,1700,"1442 W Belmont Avenue 2E Chicago, IL 60657",790000.0
2,2,1400,"3550 W Montrose Avenue 107 Chicago, IL 60618",425000.0
4,3,2398,"4442 N Melvina Avenue Chicago, IL 60630",625000.0
3,3,3200,"6901 S Oglesby Avenue 6C Chicago, IL 60649",149999.0
2,2,1265,"758 N LARRABEE Street 509 Chicago, IL 60654",549000.0
2,2,1140,"330 W Diversey Parkway 1508 Chicago, IL 60657",379900.0
2,2,1336,"130 N Garland Court 2706 Chicago, IL 60602",585000.0
2,2,1200,"435 W Erie Street 1206 Chicago, IL 60654",550000.0
2,2,1758,"130 N Garland Court 3803 Chicago, IL 60602",985000.0
4,3,3600,"2342 N Hamlin Avenue Chicago, IL 60647",899000.0
2,2,1600,"919 N Willard Court 1N Chicago, IL 60642",499000.0
3,2,1914,"2923 N Southport Avenue 3 Chicago, IL 60657",999000.0
1,1,1138,"400 S Green Street 406 Chicago, IL 60607",364900.0
1,1,809,"130 N Garland Court 2608 Chicago, IL 60602",344900.0
3,3,2550,"2139 N BINGHAM Street Chicago, IL 60647",850000.0
6,4,1800,"11846 S Vincennes Avenue Chicago, IL 60643",350000.0
2,1,1110,"5050 S East End Avenue 4B Chicago, IL 60615",125000.0
2,2,1336,"2700 N Wayne Avenue 3N Chicago, IL 60614",900000.0
3,2,1900,"7523 N Seeley Avenue 1 Chicago, IL 60645",325000.0
2,1,1000,"2617 W Leland Avenue 1 Chicago, IL 60625",450000.0
5,2,1350,"Riverdale, IL 60827",245000.0
2,2,1405,"2323 W Pershing Road 230 Chicago, IL 60609",245000.0
1,1,850,"1550 S Blue Island Avenue 510 Chicago, IL 60608",220000.0
3,3,3000,"1630 W WARREN Boulevard 1 Chicago, IL 60607",799000.0
2,2,1300,"909 W Washington Boulevard 908 Chicago, IL 60607",699900.0
2,2,1930,"13827 S Tracy Avenue Riverdale, IL 60827",249900.0
2,1,1200,"7348 N RIDGE Boulevard 16B Chicago, IL 60645",199900.0
2,2,1085,"2323 W Pershing Road 140 Chicago, IL 60609",235000.0
2,2,1800,"5455 N Sheridan Road 2612-2615 Chicago, IL 60640",449900.0
6,3,2800,"3306 W Le Moyne Street Chicago, IL 60651",650000.0
2,2,1286,"625 W Jackson Boulevard 808 Chicago, IL 60661",484900.0
4,3,2400,"4721 S Ingleside Avenue Chicago, IL 60615",900000.0
3,3,2500,"4119 N Meade Avenue Chicago, IL 60634",575000.0
4,4,3200,"7650 S Cregier Avenue Chicago, IL 60649",525000.0
2,2,1500,"201 E Chestnut Street 23A Chicago, IL 60611",560000.0
4,2,2900,"7050 S Throop Street Chicago, IL 60636",259900.0
3,1,3720,"11814 S Parnell Avenue Chicago, IL 60628",220500.0
2,1,1175,"6220 N Ridge Avenue #S203 Chicago, IL 60660",244900.0
2,2,1519,"6033 N Sheridan Road 7C Chicago, IL 60660",374900.0
2,1,1000,"5159 N East River Road 212 Chicago, IL 60656",215000.0
3,2,1280,"5446 W Lunt Avenue Chicago, IL 60646",590000.0
