Bedrooms,Bathrooms,Square Footage,Address,Price
"3
beds",1,"731
sq.ft.","11534 S Peoria Street Chicago, IL 60643","$125,000"
"1
beds",1,"815
sq.ft.","33 W Ontario Street , 20C Chicago, IL 60654","$299,000"
"1
beds",1,"700
sq.ft.","222 N Columbus Drive , 606 Chicago, IL 60601","$259,900"
"3
beds",1,"1,280
sq.ft.","9412 S Millard Avenue Evergreen Park, IL 60805","$309,900"
"3
beds",2,"1,150
sq.ft.","12727 S Page Street Calumet Park, IL 60827","$179,950"
"3
beds",2,"1,500
sq.ft.","4706 S Saint Lawrence Avenue 2W Chicago, IL 60615","$430,000"
"2
beds",2,"2,200
sq.ft.","4431 N Paulina Street 1S Chicago, IL 60640","$595,000"
"2
beds",2,"1,200
sq.ft.","1939 N Sawyer Avenue G Chicago, IL 60647","$260,000"
"3
beds",2,"1,800
sq.ft.","1332 W Madison Street 3E Chicago, IL 60607","$725,000"
"3
beds",2,"1,770
sq.ft.","1943 N BISSELL Street B Chicago, IL 60614","$775,000"
"4
beds",2,"3,000
sq.ft.","4137 N NARRAGANSETT Avenue 8 Chicago, IL 60634","$519,900"
"2
beds",2,"1,153
sq.ft.","333 W Hubbard Street 3M Chicago, IL 60654","$520,000"
"1
beds",1,"750
sq.ft.","6030 N Sheridan Road 1810 Chicago, IL 60660","$183,000"
"3
beds",3,"2,200
sq.ft.","313 S Racine Avenue 4B Chicago, IL 60607","$999,999"
"3
beds",2,"1,900
sq.ft.","6342 N Sheridan Road 2B Chicago, IL 60660","$435,000"
"2
beds",1,"1,013
sq.ft.","1819 S Michigan Avenue , 308 Chicago, IL 60616","$319,900"
"5
beds",3,"2,874
sq.ft.","8358 S Sangamon Street Chicago, IL 60620","$325,000"
"5
beds",2,"1,584
sq.ft.","6725 S Honore Street Chicago, IL 60636","$249,900"
"4
beds",3,"1,887
sq.ft.","5515 W Henderson Street Chicago, IL 60641","$475,000"
"1
beds",1,"790
sq.ft.","1040 W Adams Street , 215 Chicago, IL 60607","$415,000"
"4
beds",2,"2,500
sq.ft.","12820 S Blossom Drive Alsip, IL 60803","$399,974"
"3
beds",3,"2,347
sq.ft.","448 W Oak Street Chicago, IL 60610","$995,000"
"3
beds",3,"2,500
sq.ft.","917 W Altgeld Street 3 Chicago, IL 60614","$900,000"
"2
beds",2,"1,200
sq.ft.","1856 W Armitage Avenue 2 Chicago, IL 60622","$479,000"
"3
beds",3,"3,000
sq.ft.","2104 S May Street Chicago, IL 60608","$999,000"
"4
beds",2,"3,800
sq.ft.","2300 N Monticello Avenue Chicago, IL 60647","$995,000"
"3
beds",3,"3,100
sq.ft.","4728 N Malden Avenue 1S Chicago, IL 60640","$799,900"
"3
beds",2,"1,500
sq.ft.","846 W ALDINE Avenue 2 Chicago, IL 60657","$724,900"
"4
beds",3,"2,500
sq.ft.","3240 N California Avenue 1N Chicago, IL 60618","$625,000"
"2
beds",2,"1,500
sq.ft.","2221 N Lincoln Avenue 1N Chicago, IL 60614","$550,000"
"2
beds",2,"1,293
sq.ft.","1530 S State Street 17P Chicago, IL 60605","$415,000"
"3
beds",2,"1,669
sq.ft.","3631 S 61st Avenue Cicero, IL 60804","$350,000"
"4
beds",2,"1,561
sq.ft.","1801 N 72nd Court Elmwood Park, IL 60707","$339,000"
"1
beds",1,"900
sq.ft.","405 N WABASH Avenue 2314 Chicago, IL 60611","$299,900"
"2
beds",2,"1,035
sq.ft.","7424 S Blackstone Avenue Chicago, IL 60619","$135,000"
"3
beds",3,"3,225
sq.ft.","2960 N Allen Avenue Chicago, IL 60618","$1,050,000"
"3
beds",2,"2,712
sq.ft.","2430 W Cortez Street 1 Chicago, IL 60622","$749,900"
"2
beds",1,"1,100
sq.ft.","2617 W Leland Avenue 2 Chicago, IL 60625","$399,900"
"2
beds",2,"1,400
sq.ft.","130 N Garland Court 2307 Chicago, IL 60602","$699,000"
"4
beds",2,"1,332
sq.ft.","4843 W Schubert Avenue Chicago, IL 60639","$480,000"
"3
beds",3,"1,422
sq.ft.","1487 N CLYBOURN Avenue B Chicago, IL 60610","$767,400"
"3
beds",3,"2,800
sq.ft.","4914 S Washington Park Court Chicago, IL 60615","$649,900"
"1
beds",1,"800
sq.ft.","1632 S INDIANA Avenue 506 Chicago, IL 60616","$242,000"
"3
beds",1,"1,302
sq.ft.","3316 S Union Avenue Chicago, IL 60616","$398,000"
"1
beds",1,"950
sq.ft.","825 N Hudson Avenue 1B Chicago, IL 60610","$375,000"
"2
beds",2,"1,500
sq.ft.","6033 N Sheridan Road 25K Chicago, IL 60660","$299,900"
"3
beds",2,"1,450
sq.ft.","1715 W Leland Avenue 1 Chicago, IL 60640","$485,000"
"3
beds",2,"1,700
sq.ft.","1242 W Jackson Boulevard 2W Chicago, IL 60607","$775,000"
"5
beds",3,"3,600
sq.ft.","4932 S Martin Luther King Drive Chicago, IL 60653","$949,000"
